,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
162,14775,44823,97376,20444,66893,55925,47938,53901,50690,78134,60967,40665,4444,4904,64202,45365,14241,61495,101799,64325
163,20572,101105,74892,67216,45007,31869,4669,103679,34022,101405,102483,77653,8167,50728,64086,44713,41950,60409,80813,14172
164,93194,117507,88899,95927,28004,89457,85004,37095,87594,23279,89460,95335,88887,88559,8465,22709,51110,89545,118829,96402
165,121101,117683,121834,37957,118026,120032,19823,38070,31519,99951,39237,117926,118341,98793,55299,27279,122692,106970,120410,68324
166,434919,246837,209419,277956,148677,146962,278380,397246,142702,209699,177874,358838,291347,424318,244176,198065,155105,271752,149413,330872
167,11481,82778,41957,77837,44812,45107,44739,63638,70736,77196,101543,27591,53828,74432,67094,70271,101498,44455,47785,11440
168,384480,336748,150965,297247,267121,328051,391647,190614,250104,322420,248962,334685,322419,215348,400411,171347,214158,148410,276821,332672
169,102469,53711,41056,60698,88688,48427,119203,44524,64126,8014,47481,44211,44534,119202,50923,8120,36642,32988,81587,44502
170,3334,60392,3346,12983,27786,12939,60388,43881,3193,47641,11266,10623,12888,43872,56043,443488,14299,49674,43809,15960
171,95941,93211,108421,8587,61599,82585,82402,54091,50952,77250,21918,93109,90937,81263,33237,95465,56336,79367,32238,70584
172,97386,14671,4794,7151,20588,69432,33954,53389,49453,55647,53356,69733,7168,20003,40105,44330,40424,20310,69391,3680
173,229763,371298,314213,186927,364481,195186,244518,259377,161543,276261,144733,371297,334591,389557,353146,397595,161903,193023,172747,348084
174,34988,95546,89156,97443,25252,34905,42037,5587,92887,14792,95521,25297,53712,5930,89129,69882,119133,45893,51102,82347
175,88773,69958,7498,94950,69583,95410,89578,87672,37108,20312,118828,119796,96063,37102,119825,108417,51064,88906,87859,8626
176,175636,197485,337645,382266,436848,184495,368398,136823,281557,295709,342031,295710,296704,137899,415976,136726,166467,192508,411641,204867
177,141852,151663,263085,312566,312565,259804,433956,182080,223305,225648,208123,224521,175527,344595,347627,175664,338319,144358,183309,366120
178,75049,103516,58406,45579,64420,21768,103215,74721,36296,73291,45519,101539,5796,103203,53884,45721,103693,45526,22045,41524
179,391825,252210,314577,139569,394288,273853,148303,346399,408945,416494,262030,309352,348092,257483,424793,322587,143343,237955,242835,293726
180,5582,14044,21274,55776,5618,24170,21196,50303,100484,70165,73825,8239,14491,8246,41996,53567,33919,45239,53806,58074
181,69419,20137,19941,57791,63949,57867,49339,55997,69584,69631,14051,4940,20224,50269,7319,49337,69783,3488,44401,53251
182,183386,163626,386078,229768,434450,179366,265262,320306,147746,330391,137432,179487,306703,114751,344444,187854,396092,417917,313531,330389
183,44811,64198,53889,55919,9146,34316,5721,46483,87663,89382,117381,84647,96027,80867,32206,11658,33034,44949,7601,14333
184,475810,478663,470573,464050,484931,465812,484253,460456,485833,485473,477889,492746,492602,472017,465642,472104,484269,463134,461294,468728
185,38392,102309,100432,21111,102292,11531,5774,66948,32130,70469,14812,81267,11696,66994,58426,21106,21917,81388,56193,11711
186,91265,36917,54087,61866,50348,13986,69762,54154,89800,3821,57763,91101,48355,60804,3202,101560,91231,85328,44052,13661
187,354098,223565,359436,142447,338797,359437,187524,192765,262917,243301,250513,303640,111711,149874,436827,165689,348912,410011,240821,229427
188,64177,47685,69928,5802,70052,64342,24213,32129,67161,60419,73876,50533,77216,43669,60403,5597,45314,27542,44324,5712
189,472018,485205,465252,479635,471009,489433,488140,488775,493484,494738,482335,489755,478531,482314,467540,489785,457955,471553,465562,471844
190,89813,119543,87979,22966,89683,83133,83170,59564,62057,93311,58557,95979,101259,89191,89193,95589,48288,95632,118983,85336
191,264569,298720,1409,348927,183164,266166,422837,171190,395291,289571,301533,109632,317996,159382,260671,271018,181826,301184,109288,165300
192,105370,120324,117676,6313,107743,120216,118273,120425,31645,99819,99687,120261,102273,97174,91848,31592,38337,30061,31421,97032
193,234207,242742,271400,325114,313536,254398,212197,137072,280425,341538,295370,152714,296383,153841,336257,344446,268129,423666,414115,321641
194,61758,58715,108216,9085,87989,25457,96263,25199,96694,118172,99493,57177,47627,36417,24421,25618,98349,118386,98097,38164
195,211100,172130,203699,402643,437197,308694,116726,350414,342660,137005,139028,389209,166477,396727,150783,437032,330877,196100,353152,190679
196,69284,61224,43780,94682,27714,49644,53105,63439,40079,50403,40098,19981,39947,97343,58141,40004,40344,7815,41251,10581
197,14082,57932,3943,21088,53511,13937,43872,11266,101802,98575,61499,77053,122096,6961,12939,47446,443488,30184,60392,16382
198,39581,102342,120507,39545,496961,496962,497015,497017,497016,497018,497004,497003,496972,497002,497001,497014,497020,496960,496971,496959
199,31809,101424,63745,63819,21076,63746,27726,5241,44269,41916,47932,47520,101413,5102,24016,60137,41897,60284,70131,63688
200,21692,48194,78672,64401,103330,48203,103307,102393,102338,91930,103342,32276,91920,87213,74366,91927,81129,84066,45774,39598
201,70398,78094,103734,45106,77399,8208,67186,45497,5806,44321,44927,21212,42044,5449,34076,50558,77642,21909,48138,45416
202,17881,7669,40095,13723,16973,40205,3485,20038,49638,41888,40167,69514,47553,4866,100899,33975,63958,3489,27715,13457
203,493225,462460,478165,466006,494858,474368,467733,493224,460041,490022,475212,476530,487525,471875,467640,474811,491364,461598,485452,492601
204,45364,32898,84414,64179,5673,77207,82192,14244,36721,53826,32213,81310,41461,53670,74002,41069,11485,74916,47795,32195
205,7837,103508,8222,81000,45904,50734,77131,50553,61391,79193,87875,53827,45799,24426,36755,81037,14209,21518,77204,36497
206,484492,469654,461599,478399,493181,459027,480197,481167,490651,493349,460962,478921,470947,484491,490151,479825,482148,458184,491367,482931
207,61809,9660,23147,8376,6144,59570,58981,89594,34920,51297,62330,59482,61977,8549,51466,62316,23188,8821,8546,97683
208,16373,14286,13714,66738,3736,5005,11238,40425,44458,49918,57710,27636,43750,69799,7814,41244,63437,16795,47182,53397
209,490019,484469,462589,460981,478412,474435,484907,490970,492578,478163,464801,458900,469039,493223,494842,467283,458838,492688,472749,463166
210,303802,111873,244107,221386,394808,209631,136969,178337,260315,329416,148785,1397,298708,138466,145988,270990,373660,410156,270452,160926
211,411776,322079,231786,353143,275002,255297,181346,164880,316844,388360,232539,363059,182784,342980,418582,418578,285396,418577,164898,45087
212,143245,144132,237542,149996,239904,152285,222157,396419,313717,414103,252191,396917,249126,270114,344616,228877,378673,330575,381947,338345
213,454726,454649,443332,451712,22924,451504,447268,443489,454716,88339,449916,450268,119388,450825,95631,451571,447074,89812,446027,61795
214,45694,73709,120774,58421,47722,84352,103742,32403,32474,77473,81255,5776,73944,103767,45949,50179,103562,50175,32706,77212
215,55648,10668,43289,17599,43322,40198,4087,44249,77018,4041,66518,20665,3761,58118,73644,13486,17550,20791,20794,87246
216,5968,22097,94718,77459,56338,67116,75030,67259,73692,79062,74625,122169,77691,99343,81137,78543,5816,89762,120474,78671
217,13968,20406,73255,49753,43878,13800,47429,12868,14304,60865,20223,47490,12971,77005,6966,43640,49678,47431,49231,55872
218,69896,67208,34176,8156,34170,63775,50317,53623,45600,64416,44725,73882,5931,32121,45198,47659,45929,7383,70553,102494
219,351856,151380,158593,243115,151652,313077,388934,217011,44657,55477,14557,180244,248724,347486,57245,27510,227504,362279,169562,17638
220,138868,144451,205671,195273,219823,369698,335150,329406,338948,149874,297904,592,229427,171480,277565,343946,422820,262917,437001,390684
